wall_time,ros_time,reset_index,mode,run_state,surface_source,tcp_limit,elapsed,run_id,run_elapsed,tool_down_score,tcp_z,base_surface_z,surface_blend,surface_step,surface_z,eq_tcp_z,tcp_eq_err,penetration,fz_virtual_N,desired_fz_N,force_error_N,control_rate_hz,normal_mass,normal_damping,surface_stiffness,surface_damping,max_z_velocity,line_length,line_speed,wave_height,wave_cycles,surface_blend_time,vz_raw,vz_admittance,xy_error,qdot_max,min_singular,joint_error_max,xy_ref_x,xy_ref_y,link_x,link_y,link_z,link7_z_axis_x,link7_z_axis_y,link7_z_axis_z,bump_center_x,bump_center_y,vx_command,vy_command,vz_command,raw_state
2026-07-10T23:08:51.009,16.182,0,x_wave,settle,settle,free,0.07,0.0,0.0,0.7556,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0415,0.0455,0.11095,0.0031,0.41,0.026,0.3685,0.0263,0.3763,0.6546,0.0244,-0.7556,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.07 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0263, 0.3763] link7_z_axis=[0.6546, 0.0244, -0.7556] tool_down_score=0.7556 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_error=0.0415 qdot_max=0.0455 min_singular=0.11095 joint_error_max=0.0031"
2026-07-10T23:08:51.034,16.215,0,x_wave,settle,settle,free,0.1,0.0,0.0,0.7556,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0415,0.0455,0.11095,0.0045,0.41,0.026,0.3685,0.0263,0.3762,0.6546,0.0244,-0.7556,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.10 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0263, 0.3762] link7_z_axis=[0.6546, 0.0244, -0.7556] tool_down_score=0.7556 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_error=0.0415 qdot_max=0.0455 min_singular=0.11095 joint_error_max=0.0045"
2026-07-10T23:08:51.068,16.249,0,x_wave,settle,settle,free,0.13,0.0,0.0,0.7556,0.3361,0.336,0.0,0.0,0.336,0.33,0.0061,-0.0001,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0413,0.0455,0.11096,0.0055,0.41,0.026,0.3687,0.0263,0.3761,0.6546,0.0244,-0.7556,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.13 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3687, 0.0263, 0.3761] link7_z_axis=[0.6546, 0.0244, -0.7556] tool_down_score=0.7556 tcp_z=0.3361 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0061 bump_center=[0.3920, 0.0260] penetration=-0.0001 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_error=0.0413 qdot_max=0.0455 min_singular=0.11096 joint_error_max=0.0055"
2026-07-10T23:08:51.102,16.282,0,x_wave,settle,settle,free,0.17,0.0,0.0,0.7556,0.336,0.336,0.0,0.0,0.336,0.33,0.006,0.0,0.061,6.0,-5.939,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0412,0.0455,0.11097,0.006,0.41,0.026,0.3688,0.0263,0.376,0.6545,0.0244,-0.7556,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.17 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3688, 0.0263, 0.3760] link7_z_axis=[0.6545, 0.0244, -0.7556] tool_down_score=0.7556 tcp_z=0.3360 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0060 bump_center=[0.3920, 0.0260] penetration=0.0000 fz_virtual_N=0.061 desired_fz_N=6.000 force_error_N=-5.939 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_error=0.0412 qdot_max=0.0455 min_singular=0.11097 joint_error_max=0.0060"
2026-07-10T23:08:51.134,16.315,0,x_wave,settle,settle,free,0.2,0.0,0.0,0.7556,0.3357,0.336,0.0,0.0,0.336,0.33,0.0057,0.0003,0.45,6.0,-5.55,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0409,0.0454,0.11098,0.0069,0.41,0.026,0.3691,0.0263,0.3757,0.6545,0.0244,-0.7556,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.20 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3691, 0.0263, 0.3757] link7_z_axis=[0.6545, 0.0244, -0.7556] tool_down_score=0.7556 tcp_z=0.3357 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0057 bump_center=[0.3920, 0.0260] penetration=0.0003 fz_virtual_N=0.450 desired_fz_N=6.000 force_error_N=-5.550 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_error=0.0409 qdot_max=0.0454 min_singular=0.11098 joint_error_max=0.0069"
2026-07-10T23:08:51.168,16.349,0,x_wave,settle,settle,free,0.23,0.0,0.0,0.7557,0.3353,0.336,0.0,0.0,0.336,0.33,0.0053,0.0007,0.87,6.0,-5.13,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0406,0.0454,0.11099,0.0069,0.41,0.026,0.3694,0.0263,0.3753,0.6545,0.0243,-0.7557,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.23 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3694, 0.0263, 0.3753] link7_z_axis=[0.6545, 0.0243, -0.7557] tool_down_score=0.7557 tcp_z=0.3353 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0053 bump_center=[0.3920, 0.0260] penetration=0.0007 fz_virtual_N=0.870 desired_fz_N=6.000 force_error_N=-5.130 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_error=0.0406 qdot_max=0.0454 min_singular=0.11099 joint_error_max=0.0069"
2026-07-10T23:08:51.201,16.382,0,x_wave,settle,settle,free,0.27,0.0,0.0,0.7557,0.3351,0.336,0.0,0.0,0.336,0.33,0.0051,0.0009,1.026,6.0,-4.974,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0404,0.0453,0.11101,0.0066,0.41,0.026,0.3696,0.0263,0.3751,0.6545,0.0243,-0.7557,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.27 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3696, 0.0263, 0.3751] link7_z_axis=[0.6545, 0.0243, -0.7557] tool_down_score=0.7557 tcp_z=0.3351 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0051 bump_center=[0.3920, 0.0260] penetration=0.0009 fz_virtual_N=1.026 desired_fz_N=6.000 force_error_N=-4.974 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_error=0.0404 qdot_max=0.0453 min_singular=0.11101 joint_error_max=0.0066"
2026-07-10T23:08:51.235,16.416,0,x_wave,settle,settle,free,0.3,0.0,0.0,0.7557,0.3346,0.336,0.0,0.0,0.336,0.33,0.0046,0.0014,1.567,6.0,-4.433,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0399,0.0453,0.11102,0.0072,0.41,0.026,0.3701,0.0262,0.3746,0.6545,0.0243,-0.7557,0.392,0.026,0.012,-0.0004,-0.014,"elapsed=0.30 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3701, 0.0262, 0.3746] link7_z_axis=[0.6545, 0.0243, -0.7557] tool_down_score=0.7557 tcp_z=0.3346 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0046 bump_center=[0.3920, 0.0260] penetration=0.0014 fz_virtual_N=1.567 desired_fz_N=6.000 force_error_N=-4.433 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0004, -0.0140] xy_error=0.0399 qdot_max=0.0453 min_singular=0.11102 joint_error_max=0.0072"
2026-07-10T23:08:51.268,16.449,0,x_wave,settle,settle,free,0.33,0.0,0.0,0.7557,0.3341,0.336,0.0,0.0,0.336,0.33,0.0041,0.0019,2.037,6.0,-3.963,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0395,0.0452,0.11104,0.007,0.41,0.026,0.3705,0.0262,0.3741,0.6545,0.0243,-0.7557,0.392,0.026,0.012,-0.0004,-0.014,"elapsed=0.33 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3705, 0.0262, 0.3741] link7_z_axis=[0.6545, 0.0243, -0.7557] tool_down_score=0.7557 tcp_z=0.3341 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0041 bump_center=[0.3920, 0.0260] penetration=0.0019 fz_virtual_N=2.037 desired_fz_N=6.000 force_error_N=-3.963 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0004, -0.0140] xy_error=0.0395 qdot_max=0.0452 min_singular=0.11104 joint_error_max=0.0070"
2026-07-10T23:08:51.301,16.482,0,x_wave,settle,settle,free,0.37,0.0,0.0,0.7557,0.3339,0.336,0.0,0.0,0.336,0.33,0.0039,0.0021,2.194,6.0,-3.806,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.008,2.0,2.0,-0.014,-0.014,0.0393,0.0451,0.11106,0.0066,0.41,0.026,0.3707,0.0262,0.3739,0.6545,0.0243,-0.7557,0.392,0.026,0.012,-0.0004,-0.014,"elapsed=0.37 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3707, 0.0262, 0.3739] link7_z_axis=[0.6545, 0.0243, -0.7557] tool_down_score=0.7557 tcp_z=0.3339 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0039 bump_center=[0.3920, 0.0260] penetration=0.0021 fz_virtual_N=2.194 desired_fz_N=6.000 force_error_N=-3.806 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0080 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0004, -0.0140] xy_error=0.0393 qdot_max=0.0451 min_singular=0.11106 joint_error_max=0.0066"
