wall_time,ros_time,reset_index,mode,run_state,surface_source,tcp_limit,stamp_mode,elapsed,run_id,run_elapsed,tool_down_score,tcp_z,base_surface_z,surface_blend,surface_step,surface_z,eq_tcp_z,tcp_eq_err,penetration,fz_virtual_N,desired_fz_N,force_error_N,control_rate_hz,command_horizon,lead_time,normal_mass,normal_damping,surface_stiffness,surface_damping,max_z_velocity,max_xy_velocity,line_length,line_speed,line_turn_time,wave_height,wave_cycles,surface_blend_time,vz_raw,vz_admittance,xy_ref_vx,xy_ref_vy,x_error,y_error,xy_error,qdot_max,min_singular,joint_error_max,xy_ref_x,xy_ref_y,link_x,link_y,link_z,link7_z_axis_x,link7_z_axis_y,link7_z_axis_z,bump_center_x,bump_center_y,vx_command,vy_command,vz_command,raw_state
2026-07-13T14:32:49.168,16.019,0,x_wave,settle,settle,free,future,0.07,1.0,0.0,0.7554,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0415,-0.0003,0.0415,0.0586,0.11094,0.004,0.41,0.026,0.3685,0.0263,0.3763,0.6548,0.0243,-0.7554,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.07 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0263, 0.3763] link7_z_axis=[0.6548, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0415 y_error=-0.0003 xy_error=0.0415 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0040"
2026-07-13T14:32:49.171,16.065,0,x_wave,settle,settle,free,future,0.1,1.0,0.0,0.7554,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0414,-0.0003,0.0414,0.0586,0.11094,0.0059,0.41,0.026,0.3686,0.0263,0.3762,0.6548,0.0243,-0.7554,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.10 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3686, 0.0263, 0.3762] link7_z_axis=[0.6548, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0414 y_error=-0.0003 xy_error=0.0414 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0059"
2026-07-13T14:32:49.206,16.09,0,x_wave,settle,settle,free,future,0.13,1.0,0.0,0.7554,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0414,-0.0003,0.0414,0.0586,0.11092,0.0061,0.41,0.026,0.3686,0.0263,0.3762,0.6548,0.0243,-0.7554,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.13 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3686, 0.0263, 0.3762] link7_z_axis=[0.6548, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0414 y_error=-0.0003 xy_error=0.0414 qdot_max=0.0586 min_singular=0.11092 joint_error_max=0.0061"
2026-07-13T14:32:49.257,16.125,0,x_wave,settle,settle,free,future,0.17,1.0,0.0,0.7555,0.3357,0.336,0.0,0.0,0.336,0.33,0.0057,0.0003,0.468,6.0,-5.532,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0407,-0.0003,0.0407,0.0587,0.11091,0.0071,0.41,0.026,0.3693,0.0263,0.3757,0.6548,0.0243,-0.7555,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.17 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3693, 0.0263, 0.3757] link7_z_axis=[0.6548, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3357 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0057 bump_center=[0.3920, 0.0260] penetration=0.0003 fz_virtual_N=0.468 desired_fz_N=6.000 force_error_N=-5.532 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0407 y_error=-0.0003 xy_error=0.0407 qdot_max=0.0587 min_singular=0.11091 joint_error_max=0.0071"
2026-07-13T14:32:49.295,16.151,0,x_wave,settle,settle,free,future,0.2,1.0,0.0,0.7555,0.3352,0.336,0.0,0.0,0.336,0.33,0.0052,0.0008,0.953,6.0,-5.047,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0401,-0.0003,0.0401,0.0588,0.11089,0.0067,0.41,0.026,0.3699,0.0263,0.3752,0.6547,0.0243,-0.7555,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.20 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3699, 0.0263, 0.3752] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3352 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0052 bump_center=[0.3920, 0.0260] penetration=0.0008 fz_virtual_N=0.953 desired_fz_N=6.000 force_error_N=-5.047 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0401 y_error=-0.0003 xy_error=0.0401 qdot_max=0.0588 min_singular=0.11089 joint_error_max=0.0067"
2026-07-13T14:32:49.332,16.186,0,x_wave,settle,settle,free,future,0.23,1.0,0.0,0.7555,0.335,0.336,0.0,0.0,0.336,0.33,0.005,0.001,1.118,6.0,-4.882,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0398,-0.0002,0.0398,0.0588,0.11086,0.0063,0.41,0.026,0.3702,0.0262,0.375,0.6547,0.0243,-0.7555,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.23 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3702, 0.0262, 0.3750] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3350 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0050 bump_center=[0.3920, 0.0260] penetration=0.0010 fz_virtual_N=1.118 desired_fz_N=6.000 force_error_N=-4.882 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0398 y_error=-0.0002 xy_error=0.0398 qdot_max=0.0588 min_singular=0.11086 joint_error_max=0.0063"
2026-07-13T14:32:49.385,16.222,0,x_wave,settle,settle,free,future,0.27,1.0,0.0,0.7555,0.3345,0.336,0.0,0.0,0.336,0.33,0.0045,0.0015,1.729,6.0,-4.271,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0392,-0.0002,0.0392,0.0589,0.11085,0.0071,0.41,0.026,0.3708,0.0262,0.3745,0.6547,0.0243,-0.7555,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.27 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3708, 0.0262, 0.3745] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3345 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0045 bump_center=[0.3920, 0.0260] penetration=0.0015 fz_virtual_N=1.729 desired_fz_N=6.000 force_error_N=-4.271 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0392 y_error=-0.0002 xy_error=0.0392 qdot_max=0.0589 min_singular=0.11085 joint_error_max=0.0071"
2026-07-13T14:32:49.411,16.249,0,x_wave,settle,settle,free,future,0.3,1.0,0.0,0.7555,0.3339,0.336,0.0,0.0,0.336,0.33,0.0039,0.0021,2.236,6.0,-3.764,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0386,-0.0002,0.0386,0.0589,0.11082,0.0066,0.41,0.026,0.3714,0.0262,0.3739,0.6547,0.0243,-0.7555,0.392,0.026,0.018,-0.0003,-0.014,"elapsed=0.30 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3714, 0.0262, 0.3739] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3339 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0039 bump_center=[0.3920, 0.0260] penetration=0.0021 fz_virtual_N=2.236 desired_fz_N=6.000 force_error_N=-3.764 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0003, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0386 y_error=-0.0002 xy_error=0.0386 qdot_max=0.0589 min_singular=0.11082 joint_error_max=0.0066"
2026-07-13T14:32:49.458,16.283,0,x_wave,settle,settle,free,future,0.34,1.0,0.0,0.7555,0.3337,0.336,0.0,0.0,0.336,0.33,0.0037,0.0023,2.389,6.0,-3.611,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0383,-0.0002,0.0383,0.059,0.11079,0.0064,0.41,0.026,0.3717,0.0262,0.3737,0.6547,0.0243,-0.7555,0.392,0.026,0.018,-0.0003,-0.014,"elapsed=0.34 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3717, 0.0262, 0.3737] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3337 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0037 bump_center=[0.3920, 0.0260] penetration=0.0023 fz_virtual_N=2.389 desired_fz_N=6.000 force_error_N=-3.611 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0003, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0383 y_error=-0.0002 xy_error=0.0383 qdot_max=0.0590 min_singular=0.11079 joint_error_max=0.0064"
2026-07-13T14:32:49.508,16.32,0,x_wave,settle,settle,free,future,0.37,1.0,0.0,0.7555,0.3332,0.336,0.0,0.0,0.336,0.33,0.0032,0.0028,2.996,6.0,-3.004,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.004,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0376,-0.0002,0.0376,0.059,0.11078,0.0071,0.41,0.026,0.3724,0.0262,0.3732,0.6547,0.0243,-0.7555,0.392,0.026,0.018,-0.0003,-0.014,"elapsed=0.37 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3724, 0.0262, 0.3732] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3332 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0032 bump_center=[0.3920, 0.0260] penetration=0.0028 fz_virtual_N=2.996 desired_fz_N=6.000 force_error_N=-3.004 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0040 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0003, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0376 y_error=-0.0002 xy_error=0.0376 qdot_max=0.0590 min_singular=0.11078 joint_error_max=0.0071"
