wall_time,ros_time,reset_index,mode,run_state,surface_source,tcp_limit,elapsed,run_id,run_elapsed,tool_down_score,tcp_z,base_surface_z,surface_blend,surface_step,surface_z,eq_tcp_z,tcp_eq_err,penetration,fz_virtual_N,desired_fz_N,force_error_N,control_rate_hz,normal_mass,normal_damping,surface_stiffness,surface_damping,max_z_velocity,line_length,line_speed,line_turn_time,wave_height,wave_cycles,surface_blend_time,vz_raw,vz_admittance,xy_ref_vx,xy_ref_vy,x_error,y_error,xy_error,qdot_max,min_singular,joint_error_max,xy_ref_x,xy_ref_y,link_x,link_y,link_z,link7_z_axis_x,link7_z_axis_y,link7_z_axis_z,bump_center_x,bump_center_y,vx_command,vy_command,vz_command,raw_state
2026-07-11T10:13:55.103,15.952,0,x_wave,settle,settle,free,0.03,0.0,0.0,0.7554,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0415,-0.0004,0.0415,0.0455,0.11094,0.0016,0.41,0.026,0.3685,0.0264,0.3763,0.6548,0.0245,-0.7554,0.392,0.026,0.012,-0.0007,-0.014,"elapsed=0.03 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0264, 0.3763] link7_z_axis=[0.6548, 0.0245, -0.7554] tool_down_score=0.7554 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0415 y_error=-0.0004 xy_error=0.0415 qdot_max=0.0455 min_singular=0.11094 joint_error_max=0.0016"
2026-07-11T10:13:55.130,15.984,0,x_wave,settle,settle,free,0.07,0.0,0.0,0.7554,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0415,-0.0004,0.0415,0.0455,0.11094,0.0031,0.41,0.026,0.3685,0.0264,0.3763,0.6548,0.0245,-0.7554,0.392,0.026,0.012,-0.0007,-0.014,"elapsed=0.07 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0264, 0.3763] link7_z_axis=[0.6548, 0.0245, -0.7554] tool_down_score=0.7554 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0415 y_error=-0.0004 xy_error=0.0415 qdot_max=0.0455 min_singular=0.11094 joint_error_max=0.0031"
2026-07-11T10:13:55.162,16.016,0,x_wave,settle,settle,free,0.1,0.0,0.0,0.7554,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0414,-0.0004,0.0414,0.0455,0.11094,0.0044,0.41,0.026,0.3686,0.0264,0.3763,0.6548,0.0245,-0.7554,0.392,0.026,0.012,-0.0007,-0.014,"elapsed=0.10 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3686, 0.0264, 0.3763] link7_z_axis=[0.6548, 0.0245, -0.7554] tool_down_score=0.7554 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0414 y_error=-0.0004 xy_error=0.0414 qdot_max=0.0455 min_singular=0.11094 joint_error_max=0.0044"
2026-07-11T10:13:55.196,16.051,0,x_wave,settle,settle,free,0.13,0.0,0.0,0.7555,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0414,-0.0004,0.0414,0.0455,0.11094,0.0057,0.41,0.026,0.3686,0.0264,0.3762,0.6547,0.0245,-0.7555,0.392,0.026,0.012,-0.0007,-0.014,"elapsed=0.13 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3686, 0.0264, 0.3762] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0414 y_error=-0.0004 xy_error=0.0414 qdot_max=0.0455 min_singular=0.11094 joint_error_max=0.0057"
2026-07-11T10:13:55.231,16.084,0,x_wave,settle,settle,free,0.17,0.0,0.0,0.7555,0.336,0.336,0.0,0.0,0.336,0.33,0.006,0.0,0.098,6.0,-5.902,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0412,-0.0004,0.0412,0.0455,0.11095,0.0063,0.41,0.026,0.3688,0.0264,0.376,0.6547,0.0245,-0.7555,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.17 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3688, 0.0264, 0.3760] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3360 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0060 bump_center=[0.3920, 0.0260] penetration=0.0000 fz_virtual_N=0.098 desired_fz_N=6.000 force_error_N=-5.902 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0412 y_error=-0.0004 xy_error=0.0412 qdot_max=0.0455 min_singular=0.11095 joint_error_max=0.0063"
2026-07-11T10:13:55.263,16.116,0,x_wave,settle,settle,free,0.2,0.0,0.0,0.7555,0.3356,0.336,0.0,0.0,0.336,0.33,0.0056,0.0004,0.474,6.0,-5.526,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0408,-0.0003,0.0408,0.0454,0.11097,0.0065,0.41,0.026,0.3692,0.0263,0.3756,0.6547,0.0245,-0.7555,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.20 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3692, 0.0263, 0.3756] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3356 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0056 bump_center=[0.3920, 0.0260] penetration=0.0004 fz_virtual_N=0.474 desired_fz_N=6.000 force_error_N=-5.526 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0408 y_error=-0.0003 xy_error=0.0408 qdot_max=0.0454 min_singular=0.11097 joint_error_max=0.0065"
2026-07-11T10:13:55.297,16.151,0,x_wave,settle,settle,free,0.23,0.0,0.0,0.7555,0.3355,0.336,0.0,0.0,0.336,0.33,0.0055,0.0005,0.618,6.0,-5.382,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0407,-0.0003,0.0407,0.0454,0.11098,0.0073,0.41,0.026,0.3693,0.0263,0.3755,0.6547,0.0245,-0.7555,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.23 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3693, 0.0263, 0.3755] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3355 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0055 bump_center=[0.3920, 0.0260] penetration=0.0005 fz_virtual_N=0.618 desired_fz_N=6.000 force_error_N=-5.382 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0407 y_error=-0.0003 xy_error=0.0407 qdot_max=0.0454 min_singular=0.11098 joint_error_max=0.0073"
2026-07-11T10:13:55.330,16.183,0,x_wave,settle,settle,free,0.27,0.0,0.0,0.7555,0.335,0.336,0.0,0.0,0.336,0.33,0.005,0.001,1.137,6.0,-4.863,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0402,-0.0003,0.0402,0.0453,0.11099,0.0071,0.41,0.026,0.3698,0.0263,0.375,0.6547,0.0245,-0.7555,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.27 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3698, 0.0263, 0.3750] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3350 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0050 bump_center=[0.3920, 0.0260] penetration=0.0010 fz_virtual_N=1.137 desired_fz_N=6.000 force_error_N=-4.863 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0402 y_error=-0.0003 xy_error=0.0402 qdot_max=0.0453 min_singular=0.11099 joint_error_max=0.0071"
2026-07-11T10:13:55.363,16.216,0,x_wave,settle,settle,free,0.3,0.0,0.0,0.7555,0.3346,0.336,0.0,0.0,0.336,0.33,0.0046,0.0014,1.606,6.0,-4.394,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0398,-0.0003,0.0398,0.0453,0.11101,0.0068,0.41,0.026,0.3702,0.0263,0.3746,0.6547,0.0245,-0.7555,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.30 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3702, 0.0263, 0.3746] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3346 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0046 bump_center=[0.3920, 0.0260] penetration=0.0014 fz_virtual_N=1.606 desired_fz_N=6.000 force_error_N=-4.394 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0398 y_error=-0.0003 xy_error=0.0398 qdot_max=0.0453 min_singular=0.11101 joint_error_max=0.0068"
2026-07-11T10:13:55.397,16.251,0,x_wave,settle,settle,free,0.33,0.0,0.0,0.7555,0.3343,0.336,0.0,0.0,0.336,0.33,0.0043,0.0017,1.757,6.0,-4.243,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0396,-0.0003,0.0396,0.0452,0.11102,0.0075,0.41,0.026,0.3704,0.0263,0.3743,0.6547,0.0245,-0.7555,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.33 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3704, 0.0263, 0.3743] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3343 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0043 bump_center=[0.3920, 0.0260] penetration=0.0017 fz_virtual_N=1.757 desired_fz_N=6.000 force_error_N=-4.243 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0396 y_error=-0.0003 xy_error=0.0396 qdot_max=0.0452 min_singular=0.11102 joint_error_max=0.0075"
